name,state,city,address,latitude,longitude,Charging Type,Supported Vehicle Types,access hours,Pricing Information,Amenities
"Shiv Shanker Motors, Gajuwaka",Andhra Pradesh,Vizag,"Sobha Square, Vishwaswaraya Nagar, Gajuwaka, Vishakhapatanam-530012",17.68429,83.185923,DC Fast Charging,EV2,24-Jul,?9 k/Wh,"Wifi, Parking"
"Daspalla Hotels, Suryabagh",Andhra Pradesh,Vizag,"Hotel Daspalla Visakhapatnam, 28-2-48, Suryabagh, Jagadamba Junction,A P 530020",17.7105539,83.3008275,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"Wifi, Parking"
"Tristar Auto Agencies, RK Beach Junction",Andhra Pradesh,Vizag,"Beside Kali Matha Mandhir, RK Beach Junction, Visakhapatnam-530002",17.71241304,83.3184811,DC Fast Charging,EV2,24-Jul,?10 k/Wh,Wifi
"Croma u00e2u0080u0093 MVR Complex, Waltair Uplands",Andhra Pradesh,Vizag,"Ground & First floor, MVR # 10-1-39/B&C, Siripuram Cir, opp. Rock Park, Waltair Uplands, Visakhapatnam, Andhra Pradesh 530003",17.725417,83.315175,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"Wifi, Parking"
"Shiv Shanker Motors, Kancharpalem",Andhra Pradesh,Vizag,"C 24, Industrail Estate, Kancharapalem, Vishakhapatnam u00e2u0080u0093 530010",17.738719,83.26258,DC Fast Charging,EV2,24-Jul,?7 k/Wh,Parking
Abhay Graphics II,Maharashtra,pune,"D-II, Plot no 32, Unit B - Near Kia Showroom, In front of HDFC Colony, Chinchwad",18.65324253,73.80340133,DC Fast Charging,EV2,24-Jul,?8 k/Wh,Wifi
Nukkad Tea Cafe,Chhattisgarh,raipur,"75, Jalvihar Colony Rd, Civil Lines, Raipur, Chhattisgarh",21.2404762,81.6574975,AC Fast Charging,EV1,24-Jul,?10 k/Wh,"No Wifi, No Parking"
Ardas Televentures Pvt Ltd,Rajasthan,jaipur,"#147, Rathore Nagar, Amrapali Road, Vaishali Nagar",26.911545,75.74876,AC Fast Charging,EV1,24-Jul,?9 k/Wh,Wifi
Hotel Parktel ,Uttar Pradesh,ghaziabad,"Omaxe Plaza, 583, Vijay Laxmi Pandit Marg, Near, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh",28.6463665,77.36784004,DC Fast Charging,EV2,24-Jul,?8 k/Wh,"Wifi, Parking"
Hotel JAS,Andhra Pradesh ,Visakhapatnam,"NH45 Kagitha Village Near Vempadu Toll Gate Nakkapalli, Mandalam, Visakhapatnam",17.39957297,82.68113802,DC Fast Charging,EV2,24-Jul,?9 k/Wh,"No Wifi, No Parking"
"E Planet, Thalassery",Kerala,kannur,"AVK Nair Road, Pilakool, Thalassery, Kerala ",11.74554436,75.4950197,AC Fast Charging,EV1,24-Jul,?7 k/Wh,Parking
M R A Restaurant,Kerala,kannur,"Kasaragod - Kannur Rd, Trichambaram, Taliparamba, Kerala ",12.02562662,75.36717734,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"No Wifi, No Parking"
"Radisson Resort, ECR",Tamil Nadu,chennai,ECR,12.6238102,80.1947665,DC Fast Charging,EV2,24-Jul,?8 k/Wh,Wifi
"Nandi Food Plaza, Nalagam palli",Andhra Pradesh,Chittoor,"NH 69 - 174 Nalagampalli Chittoor-Bangalore Highway Close to Bangarupalem, Village, Nalagam palli, Andhra Pradesh 517416",13.2035919,78.9415658,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"Wifi, Parking"
"Highway Grand World, Chennai-Tirupati Highway NH 716",Andhra Pradesh,Tirupati,"Chennai - Thiruttani - Renigunta Hwy, NH716 - Veerakaverirajupuram, Andhra Pradesh, Nagari, Andhra Pradesh 517590",13.29360934,79.58170947,DC Fast Charging,EV2,24-Jul,?10 k/Wh,Wifi
"IOCL - KOORAPATI SERVICE STATION, Tirupati",Andhra Pradesh,Tirupati,"TIRUPATI URBAN AND MANDAL Air bye-pass road. Tirupati, Chittoor Dist ANDHRA PRADESH",13.6207096,79.3828146,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Parking
Bhimas Residency Hotel ,Andhra Pradesh,Tirupati,"19-3-41 Renigunta Road, near Ramanuja Circle",13.62754649,79.43056383,DC Fast Charging,EV2,24-Jul,?10 k/Wh ,"Wifi, Parking"
"PNR Function Hall, Chennai-Ballary Highway",Andhra Pradesh,Proddatur,"D No 7/3109 Sy No 622, Beside IOCL petrol pump, Korrapadu Road, Andhrakesari Nagar, Proddatur Municipality, Andhra Pradesh 516360 ",14.7529922,78.5550768,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"Wifi, Parking"
"Blue Moon Highway Restaurant, Bangalore-Hyderabad Highway",Andhra Pradesh,Anantapuram,"NH 44; Bangalore - Hyderabad  highway, 116/1B, Midthuru, Peddavaduguru, Anantapuram, Andhra Pradesh 515405",15.02395,77.620628,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
"IOCL - Sai Krupa Filling Station, SH 26",Andhra Pradesh,Anantapur,"SH 26, Vajrakarur to Guntakal Road SURVEY No.401-AIu00e2u0080u008b, Anantapur Dist. ANDHRA PRADESH,515722",15.1462972,77.3774561,AC Fast Charging,EV1,24-Jul,?7 k/Wh,Parking
"Matsya Amazon Kitchens, Kurnool Rd",Andhra Pradesh,Kurnool,"NH 44; Bangalore - Hyderabad  highway, Kurnool Rd, Andhra Pradesh 518216",15.576915,77.93704,AC Fast Charging,EV1,24-Jul,?9 k/Wh,Wifi
"Sasya Auto Cars, Bellari X Roads - NH 44",Andhra Pradesh,Kurnool,"Renault Showroom, 45/142-70-5-B, NH44 Near APSP 2nd Battallion, Bellari X Roads, Kurnool, Andhra Pradesh 518003",15.8305662,78.0179892,DC Fast Charging,EV2,24-Jul,?8 k/Wh,Parking
"Sasya Automotives, Near EENADU Office - NH 44",Andhra Pradesh,Kurnool,"Isuzu Showroom, Survey No-131-1 & 133-1A NH44 Near EENADU Office, Kurnool, Andhra Pradesh 518003",15.8498643,78.0045003,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Wifi
"IOCL - NAVABHARAGAVA FILLING STATION, Vijayawada - Hyderabad Hwy",Andhra Pradesh,Vijayawada,"Vijayawada - Hyderabad Hwy, Ibrahimpatnam, Andhra Pradesh 521456",16.5812639,80.5263493,DC Fast Charging,EV2,24-Jul,?9 k/Wh,"Wifi, Parking"
Akki's Bistro,Maharashtra,kolhapur,"CS No 1082, Chandrameela Building, Near Krishna temple, Mohite park, Kolhapur, Maharashtra 416012",16.6856931,74.2084223,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Wifi
"River Bay Resorts, Gautami Ghat",Andhra Pradesh,Rajahmundry,"Hotel River Bay Resort, 5-1-36 to 43 Gautami Ghat, Rajahmundry-533101",16.9921196,81.7735774,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
"IOCL Sree Devi Prasad Services, Naamavaram",Andhra Pradesh,Naamavaram,"Naamavaram, Andhra Pradesh 531126",17.3736805,82.5862594,AC Fast Charging,EV1,24-Jul,?7 k/Wh,"No Wifi, No Parking"
Hotel JAS,Andhra pradesh,Visakhapatnam,"NH45 Kagitha Village Near Vempadu Toll Gate Nakkapalli, Mandalam, Visakhapatnam",17.39957297,82.68113802,DC Fast Charging,EV2,24-Jul,?9 k/Wh,"Wifi, Parking"
"Tristar Auto Agencies, RK Beach Junction",Andhra Pradesh,Vizag,"Beside Kali Matha Mandhir, RK Beach Junction, Visakhapatnam-530002",17.71241304,83.3184811,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Wifi
The Coffee Stories,Maharashtra,pune,"2, Meher classic, shop no:2, opp N.K.Ashiyana society, Marketyard, pune, near unity bakers, Pune, Maharashtra ",18.48792254,73.8727627,DC Fast Charging,EV2,24-Jul,?12 k/Wh,"Wifi, Parking"
Oyo Soho,Uttar Pradesh,noida,"D-141, Block D, Sector 51, Noida, Uttar Pradesh 201301",28.58066,77.37497,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
